"","Territorio","Año","Fecha","Pollos","Panal","Edad","Vertebrado","ID","Juliano","Presa"
"145","NORES","2018",2018-08-05,"1","P",31,NA,"NORES 2018",217,"VESPULA"
"146","NORES","2018",2018-08-05,"1","P",31,NA,"NORES 2018",217,"VESPULA"
"147","NORES","2018",2018-08-05,"1","G",31,NA,"NORES 2018",217,"VELUTINA"
"148","NORES","2018",2018-08-05,"1","P",31,NA,"NORES 2018",217,"VESPULA"
"149","NORES","2018",2018-08-06,"1","P",32,NA,"NORES 2018",218,"VESPULA"
"150","NORES","2018",2018-08-06,"1","P",32,NA,"NORES 2018",218,"VESPULA"
"151","NORES","2018",2018-08-06,"1","P",32,NA,"NORES 2018",218,"VESPULA"
"152","NORES","2018",2018-08-06,"1","P",32,NA,"NORES 2018",218,"VESPULA"
"153","NORES","2018",2018-08-06,"1","G",32,NA,"NORES 2018",218,"VELUTINA"
"154","NORES","2018",2018-08-06,"1",NA,32,"REPTIL","NORES 2018",218,"REPTIL"
"155","NORES","2018",2018-08-06,"1","P",32,NA,"NORES 2018",218,"VESPULA"
"156","NORES","2018",2018-08-06,"1","P",32,NA,"NORES 2018",218,"VESPULA"
"157","NORES","2018",2018-08-06,"1","P",32,NA,"NORES 2018",218,"VESPULA"
"158","NORES","2018",2018-08-06,"1","G",32,NA,"NORES 2018",218,"VELUTINA"
"159","NORES","2018",2018-08-07,"1","G",33,NA,"NORES 2018",219,"VELUTINA"
"160","NORES","2018",2018-08-07,"1","G",33,NA,"NORES 2018",219,"VELUTINA"
"161","NORES","2018",2018-08-08,"1","G",34,NA,"NORES 2018",220,"VELUTINA"
"162","NORES","2018",2018-08-08,"1","G",34,NA,"NORES 2018",220,"VELUTINA"
"163","NORES","2018",2018-08-08,"1","P",34,NA,"NORES 2018",220,"VESPULA"
"164","NORES","2018",2018-08-08,"1","G",34,NA,"NORES 2018",220,"VELUTINA"
"165","NORES","2018",2018-08-08,"1","G",34,NA,"NORES 2018",220,"VELUTINA"
"166","NORES","2018",2018-08-08,"1","G",34,NA,"NORES 2018",220,"VELUTINA"
"167","NORES","2018",2018-08-09,"1","G",35,NA,"NORES 2018",221,"VELUTINA"
"168","NORES","2018",2018-08-09,"1","G",35,NA,"NORES 2018",221,"VELUTINA"
"169","NORES","2018",2018-08-09,"1","G",35,NA,"NORES 2018",221,"VELUTINA"
"170","NORES","2018",2018-08-09,"1",NA,35,"REPTIL","NORES 2018",221,"REPTIL"
"171","NORES","2018",2018-08-09,"1","G",35,NA,"NORES 2018",221,"VELUTINA"
"172","NORES","2018",2018-08-10,"1","G",36,NA,"NORES 2018",222,"VELUTINA"
"173","NORES","2018",2018-08-10,"1","G",36,NA,"NORES 2018",222,"VELUTINA"
"174","NORES","2018",2018-08-10,"1","P",36,NA,"NORES 2018",222,"VESPULA"
"175","NORES","2018",2018-08-10,"1","G",36,NA,"NORES 2018",222,"VELUTINA"
"176","P. LIMENS","2018",2018-07-18,"1",NA,17,"REPTIL","P. LIMENS 2018",199,"REPTIL"
"177","P. LIMENS","2018",2018-07-18,"1","G",17,NA,"P. LIMENS 2018",199,"VELUTINA"
"178","P. LIMENS","2018",2018-07-18,"1","G",17,NA,"P. LIMENS 2018",199,"VELUTINA"
"179","P. LIMENS","2018",2018-07-18,"1","G",17,NA,"P. LIMENS 2018",199,"VELUTINA"
"180","P. LIMENS","2018",2018-07-18,"1","P",17,NA,"P. LIMENS 2018",199,"VESPULA"
"181","P. LIMENS","2018",2018-07-19,"1","G",18,NA,"P. LIMENS 2018",200,"VELUTINA"
"182","P. LIMENS","2018",2018-07-19,"1",NA,18,"AVE","P. LIMENS 2018",200,"AVE"
"183","P. LIMENS","2018",2018-07-19,"1",NA,18,"REPTIL","P. LIMENS 2018",200,"REPTIL"
"184","P. LIMENS","2018",2018-07-20,"1","P",19,NA,"P. LIMENS 2018",201,"VESPULA"
"185","P. LIMENS","2018",2018-07-20,"1","P",19,NA,"P. LIMENS 2018",201,"VESPULA"
"186","P. LIMENS","2018",2018-07-20,"1","P",19,NA,"P. LIMENS 2018",201,"VESPULA"
"187","P. LIMENS","2018",2018-07-20,"1","G",19,NA,"P. LIMENS 2018",201,"VELUTINA"
"188","P. LIMENS","2018",2018-07-20,"1","P",19,NA,"P. LIMENS 2018",201,"VESPULA"
"189","P. LIMENS","2018",2018-07-21,"1",NA,20,"REPTIL","P. LIMENS 2018",202,"REPTIL"
"190","P. LIMENS","2018",2018-07-21,"1","G",20,NA,"P. LIMENS 2018",202,"VELUTINA"
"191","P. LIMENS","2018",2018-07-21,"1","G",20,NA,"P. LIMENS 2018",202,"VELUTINA"
"192","P. LIMENS","2018",2018-07-21,"1","G",20,NA,"P. LIMENS 2018",202,"VELUTINA"
"193","P. LIMENS","2018",2018-07-21,"1","G",20,NA,"P. LIMENS 2018",202,"VELUTINA"
"194","P. LIMENS","2018",2018-07-22,"1","G",21,NA,"P. LIMENS 2018",203,"VELUTINA"
"195","P. LIMENS","2018",2018-07-22,"1","G",21,NA,"P. LIMENS 2018",203,"VELUTINA"
"196","P. LIMENS","2018",2018-07-23,"1","G",22,NA,"P. LIMENS 2018",204,"VELUTINA"
"197","P. LIMENS","2018",2018-07-23,"1","G",22,NA,"P. LIMENS 2018",204,"VELUTINA"
"198","P. LIMENS","2018",2018-07-23,"1","G",22,NA,"P. LIMENS 2018",204,"VELUTINA"
"199","P. LIMENS","2018",2018-07-24,"1","G",23,NA,"P. LIMENS 2018",205,"VELUTINA"
"200","P. LIMENS","2018",2018-07-24,"1","P",23,NA,"P. LIMENS 2018",205,"VESPULA"
"201","P. LIMENS","2018",2018-07-24,"1",NA,23,"REPTIL","P. LIMENS 2018",205,"REPTIL"
"202","P. LIMENS","2018",2018-07-24,"1","G",23,NA,"P. LIMENS 2018",205,"VELUTINA"
"203","P. LIMENS","2018",2018-07-24,"1","P",23,NA,"P. LIMENS 2018",205,"VESPULA"
"204","P. LIMENS","2018",2018-07-24,"1","P",23,NA,"P. LIMENS 2018",205,"VESPULA"
"205","P. LIMENS","2018",2018-07-25,"1","P",24,NA,"P. LIMENS 2018",206,"VESPULA"
"206","P. LIMENS","2018",2018-07-25,"1","G",24,NA,"P. LIMENS 2018",206,"VELUTINA"
"207","P. LIMENS","2018",2018-07-25,"1","P",24,NA,"P. LIMENS 2018",206,"VESPULA"
"208","P. LIMENS","2018",2018-07-25,"1","P",24,NA,"P. LIMENS 2018",206,"VESPULA"
"209","P. LIMENS","2018",2018-07-25,"1","P",24,NA,"P. LIMENS 2018",206,"VESPULA"
"210","P. LIMENS","2018",2018-07-26,"1",NA,25,"REPTIL","P. LIMENS 2018",207,"REPTIL"
"211","P. LIMENS","2018",2018-07-26,"1","G",25,NA,"P. LIMENS 2018",207,"VELUTINA"
"212","P. LIMENS","2018",2018-07-26,"1","G",25,NA,"P. LIMENS 2018",207,"VELUTINA"
"213","P. LIMENS","2018",2018-07-26,"1","G",25,NA,"P. LIMENS 2018",207,"VELUTINA"
"214","P. LIMENS","2018",2018-07-26,"1","G",25,NA,"P. LIMENS 2018",207,"VELUTINA"
"215","P. LIMENS","2018",2018-07-27,"1","G",26,NA,"P. LIMENS 2018",208,"VELUTINA"
"216","P. LIMENS","2018",2018-07-27,"1","G",26,NA,"P. LIMENS 2018",208,"VELUTINA"
"217","P. LIMENS","2018",2018-07-27,"1","G",26,NA,"P. LIMENS 2018",208,"VELUTINA"
"218","P. LIMENS","2018",2018-07-27,"1",NA,26,"REPTIL","P. LIMENS 2018",208,"REPTIL"
"219","P. LIMENS","2018",2018-07-27,"1","P",26,NA,"P. LIMENS 2018",208,"VESPULA"
"220","P. LIMENS","2018",2018-07-27,"1","G",26,NA,"P. LIMENS 2018",208,"VELUTINA"
"221","P. LIMENS","2018",2018-07-27,"1","G",26,NA,"P. LIMENS 2018",208,"VELUTINA"
"222","P. LIMENS","2018",2018-07-27,"1","P",26,NA,"P. LIMENS 2018",208,"VESPULA"
"223","P. LIMENS","2018",2018-07-28,"1","P",27,NA,"P. LIMENS 2018",209,"VESPULA"
"224","P. LIMENS","2018",2018-07-28,"1","G",27,NA,"P. LIMENS 2018",209,"VELUTINA"
"225","P. LIMENS","2018",2018-07-28,"1","P",27,NA,"P. LIMENS 2018",209,"VESPULA"
"226","P. LIMENS","2018",2018-07-28,"1","P",27,NA,"P. LIMENS 2018",209,"VESPULA"
"227","P. LIMENS","2018",2018-07-29,"1","G",28,NA,"P. LIMENS 2018",210,"VELUTINA"
"228","P. LIMENS","2018",2018-07-29,"1","G",28,NA,"P. LIMENS 2018",210,"VELUTINA"
"229","P. LIMENS","2018",2018-07-29,"1",NA,28,"REPTIL","P. LIMENS 2018",210,"REPTIL"
"230","P. LIMENS","2018",2018-07-29,"1",NA,28,"AVE","P. LIMENS 2018",210,"AVE"
"231","P. LIMENS","2018",2018-07-29,"1","G",28,NA,"P. LIMENS 2018",210,"VELUTINA"
"232","P. LIMENS","2018",2018-07-29,"1","P",28,NA,"P. LIMENS 2018",210,"VESPULA"
"233","P. LIMENS","2018",2018-07-30,"1","P",29,NA,"P. LIMENS 2018",211,"VESPULA"
"234","P. LIMENS","2018",2018-07-30,"1","P",29,NA,"P. LIMENS 2018",211,"VESPULA"
"235","P. LIMENS","2018",2018-07-30,"1","P",29,NA,"P. LIMENS 2018",211,"VESPULA"
"236","P. LIMENS","2018",2018-07-30,"1","G",29,NA,"P. LIMENS 2018",211,"VELUTINA"
"237","P. LIMENS","2018",2018-07-30,"1","P",29,NA,"P. LIMENS 2018",211,"VESPULA"
"238","P. LIMENS","2018",2018-07-31,"1","P",30,NA,"P. LIMENS 2018",212,"VESPULA"
"239","P. LIMENS","2018",2018-07-31,"1","G",30,NA,"P. LIMENS 2018",212,"VELUTINA"
"240","P. LIMENS","2018",2018-07-31,"1","P",30,NA,"P. LIMENS 2018",212,"VESPULA"
"241","P. LIMENS","2018",2018-07-31,"1","P",30,NA,"P. LIMENS 2018",212,"VESPULA"
"242","P. LIMENS","2018",2018-07-31,"1","P",30,NA,"P. LIMENS 2018",212,"VESPULA"
"243","P. LIMENS","2018",2018-07-31,"1","P",30,NA,"P. LIMENS 2018",212,"VESPULA"
"244","P. LIMENS","2018",2018-07-31,"1","G",30,NA,"P. LIMENS 2018",212,"VELUTINA"
"245","P. LIMENS","2018",2018-07-31,"1","P",30,NA,"P. LIMENS 2018",212,"VESPULA"
"246","P. LIMENS","2018",2018-08-01,"1","G",31,NA,"P. LIMENS 2018",213,"VELUTINA"
"247","P. LIMENS","2018",2018-08-01,"1","G",31,NA,"P. LIMENS 2018",213,"VELUTINA"
"248","P. LIMENS","2018",2018-08-01,"1","G",31,NA,"P. LIMENS 2018",213,"VELUTINA"
"249","P. LIMENS","2018",2018-08-01,"1","G",31,NA,"P. LIMENS 2018",213,"VELUTINA"
"250","P. LIMENS","2018",2018-08-01,"1","P",31,NA,"P. LIMENS 2018",213,"VESPULA"
"251","P. LIMENS","2018",2018-08-01,"1","P",31,NA,"P. LIMENS 2018",213,"VESPULA"
"252","P. LIMENS","2018",2018-08-02,"1","G",32,NA,"P. LIMENS 2018",214,"VELUTINA"
"253","P. LIMENS","2018",2018-08-02,"1",NA,32,"REPTIL","P. LIMENS 2018",214,"REPTIL"
"254","P. LIMENS","2018",2018-08-02,"1","P",32,NA,"P. LIMENS 2018",214,"VESPULA"
"255","P. LIMENS","2018",2018-08-02,"1","P",32,NA,"P. LIMENS 2018",214,"VESPULA"
"256","P. LIMENS","2018",2018-08-02,"1","G",32,NA,"P. LIMENS 2018",214,"VELUTINA"
"257","P. LIMENS","2018",2018-08-02,"1","P",32,NA,"P. LIMENS 2018",214,"VESPULA"
"258","P. LIMENS","2018",2018-08-03,"1",NA,33,"REPTIL","P. LIMENS 2018",215,"REPTIL"
"259","P. LIMENS","2018",2018-08-03,"1","P",33,NA,"P. LIMENS 2018",215,"VESPULA"
"260","P. LIMENS","2018",2018-08-03,"1","P",33,NA,"P. LIMENS 2018",215,"VESPULA"
"261","P. LIMENS","2018",2018-08-03,"1","P",33,NA,"P. LIMENS 2018",215,"VESPULA"
"262","P. LIMENS","2018",2018-08-04,"1",NA,34,"REPTIL","P. LIMENS 2018",216,"REPTIL"
"263","P. LIMENS","2018",2018-08-04,"1",NA,34,"AVE","P. LIMENS 2018",216,"AVE"
"264","P. LIMENS","2018",2018-08-04,"1",NA,34,"AVE","P. LIMENS 2018",216,"AVE"
"265","P. LIMENS","2018",2018-08-05,"1","P",35,NA,"P. LIMENS 2018",217,"VESPULA"
"266","P. LIMENS","2018",2018-08-05,"1","P",35,NA,"P. LIMENS 2018",217,"VESPULA"
"267","P. LIMENS","2018",2018-08-05,"1","G",35,NA,"P. LIMENS 2018",217,"VELUTINA"
"268","P. LIMENS","2018",2018-08-06,"1","P",36,NA,"P. LIMENS 2018",218,"VESPULA"
"269","P. LIMENS","2018",2018-08-06,"1","G",36,NA,"P. LIMENS 2018",218,"VELUTINA"
"270","P. LIMENS","2018",2018-08-06,"1","P",36,NA,"P. LIMENS 2018",218,"VESPULA"
"271","P. LIMENS","2018",2018-08-07,"1","G",37,NA,"P. LIMENS 2018",219,"VELUTINA"
"272","P. LIMENS","2018",2018-08-07,"1","P",37,NA,"P. LIMENS 2018",219,"VESPULA"
