"","ID","Juliano","Edad","Tamaño","Pollos","Año","MediaCeldi"
"118","CARBALLO 2021",203,31,"Common-wasp","2","2021",424.63860701022
"119","CARBALLO 2021",204,32,"Asian-hornet","2","2021",129.067098184981
"120","CARBALLO 2021",204,32,"Common-wasp","2","2021",423.329610071225
"121","CARBALLO 2021",205,33,"Asian-hornet","2","2021",182.016024367359
"122","CARBALLO 2021",205,33,"Common-wasp","2","2021",19.6349540849362
"123","CARBALLO 2021",206,34,"Asian-hornet","2","2021",165.195413701263
"124","CARBALLO 2021",206,34,"Common-wasp","2","2021",339.179806850069
"125","CARBALLO 2021",207,35,"Asian-hornet","2","2021",124.485608898496
"126","CARBALLO 2021",207,35,"Common-wasp","2","2021",406.36500974184
"127","CARBALLO 2021",208,36,"Asian-hornet","2","2021",136.397481043357
"128","CARBALLO 2021",208,36,"Common-wasp","2","2021",503.597302370444
"129","CARBALLO 2021",209,37,"Asian-hornet","2","2021",200.276531666349
"130","CARBALLO 2021",209,37,"Common-wasp","2","2021",252.50550953228
"131","CARBALLO 2021",210,38,"Asian-hornet","2","2021",188.495559215388
"132","CARBALLO 2021",211,39,"Asian-hornet","2","2021",107.992247467149
"133","CARBALLO 2021",211,39,"Common-wasp","2","2021",272.611702515254
"134","EMBUDO 2021",190,18,"Asian-hornet","2","2021",170.655800932503
"135","EMBUDO 2021",190,18,"Common-wasp","2","2021",178.285383091221
"136","EMBUDO 2021",191,19,"Asian-hornet","2","2021",184.5685683984
"137","EMBUDO 2021",191,19,"Common-wasp","2","2021",314.016465692907
"138","EMBUDO 2021",192,20,"Asian-hornet","1","2021",226.194671058465
"139","EMBUDO 2021",192,20,"Asian-hornet","2","2021",159.435827169682
"140","EMBUDO 2021",192,20,"Common-wasp","1","2021",131.946891450771
"141","EMBUDO 2021",192,20,"Common-wasp","2","2021",494.800842940392
"142","EMBUDO 2021",193,21,"Asian-hornet","1","2021",89.5353906273091
"143","EMBUDO 2021",194,22,"Common-wasp","1","2021",171.104599883016
"144","EMBUDO 2021",195,23,"Common-wasp","1","2021",398.589567924205
"145","EMBUDO 2021",196,24,"Asian-hornet","1","2021",215.199096770901
