"","ID","Edad","Pollos","Año","Juliano","Presas"
"195","P. LIMENS 2018",30,"1","2018",212,8
"196","P. LIMENS 2018",31,"1","2018",213,6
"197","P. LIMENS 2018",32,"1","2018",214,6
"198","P. LIMENS 2018",33,"1","2018",215,4
"199","P. LIMENS 2018",34,"1","2018",216,3
"200","P. LIMENS 2018",35,"1","2018",217,3
"201","P. LIMENS 2018",36,"1","2018",218,3
"202","P. LIMENS 2018",37,"1","2018",219,4
"203","P. LIMENS 2018",38,"1","2018",220,3
"204","P. LIMENS 2018",39,"1","2018",221,6
"205","PGRANDE 2020",22,"2","2020",198,6
"206","PGRANDE 2020",23,"2","2020",199,8
"207","PGRANDE 2020",24,"2","2020",200,5
"208","PGRANDE 2020",25,"2","2020",201,5
"209","PGRANDE 2020",26,"2","2020",202,8
"210","PGRANDE 2020",27,"2","2020",203,10
"211","PGRANDE 2020",28,"2","2020",204,9
"212","PGRANDE 2020",29,"2","2020",205,9
"213","PGRANDE 2020",30,"2","2020",206,9
"214","PGRANDE 2020",31,"2","2020",207,10
"215","PGRANDE 2020",32,"2","2020",208,9
"216","PGRANDE 2020",33,"2","2020",209,10
"217","PGRANDE 2020",34,"2","2020",210,6
"218","PGRANDE 2020",35,"2","2020",211,5
"219","PGRANDE 2020",36,"2","2020",212,3
"220","PGRANDE 2020",37,"2","2020",213,9
"221","PGRANDE 2020",38,"2","2020",214,5
"222","PICONBAJO 2020",26,"2","2020",193,8
"223","PICONBAJO 2020",27,"2","2020",194,6
"224","PICONBAJO 2020",28,"2","2020",195,5
"225","PICONBAJO 2020",29,"2","2020",196,6
"226","PICONBAJO 2020",30,"2","2020",197,8
"227","PICONBAJO 2020",31,"2","2020",198,7
"228","PICONBAJO 2020",32,"2","2020",199,4
"229","PICONBAJO 2020",33,"2","2020",200,9
"230","PICONBAJO 2020",34,"2","2020",201,5
"231","PICONBAJO 2020",35,"2","2020",202,4
"232","PICONBAJO 2020",36,"2","2020",203,6
"233","PICONBAJO 2020",37,"2","2020",204,6
"234","PICONBAJO 2020",38,"2","2020",205,4
"235","PICONBAJO 2020",39,"2","2020",206,4
"236","PICONBAJO 2021",18,"2","2021",184,8
"237","PICONBAJO 2021",19,"2","2021",185,2
"238","PICONBAJO 2021",20,"2","2021",186,1
"239","REXENXO 2018",25,"2","2018",205,7
"240","REXENXO 2018",26,"2","2018",206,10
"241","REXENXO 2018",27,"2","2018",207,6
"242","REXENXO 2018",28,"2","2018",208,4
"243","REXENXO 2018",29,"2","2018",209,6
"244","REXENXO 2018",30,"2","2018",210,8
"245","REXENXO 2018",31,"2","2018",211,3
"246","REXENXO 2018",32,"2","2018",212,9
"247","REXENXO 2018",33,"2","2018",213,6
"248","REXENXO 2018",34,"2","2018",214,5
"249","REXENXO 2018",35,"2","2018",215,7
"250","RIOTRUCHAS 2021",23,"1","2021",204,7
"251","RIOTRUCHAS 2021",24,"1","2021",205,10
"252","RIOTRUCHAS 2021",25,"1","2021",206,2
"253","RIOTRUCHAS 2021",26,"1","2021",207,3
"254","RIOTRUCHAS 2021",27,"1","2021",208,8
"255","RIOTRUCHAS 2021",28,"1","2021",209,6
"256","RIOTRUCHAS 2021",29,"1","2021",210,8
"257","RIOTRUCHAS 2021",30,"1","2021",211,6
"258","RIOTRUCHAS 2021",31,"1","2021",212,10
"259","RIOTRUCHAS 2021",32,"1","2021",213,3
"260","RIOTRUCHAS 2021",33,"1","2021",214,9
"261","RIOTRUCHAS 2021",34,"1","2021",215,4
"262","RIOTRUCHAS 2021",35,"1","2021",216,9
"263","RIOTRUCHAS 2021",36,"1","2021",217,2
"264","RIOTRUCHAS 2021",37,"1","2021",218,1
"265","RIOTRUCHAS 2021",38,"1","2021",219,5
"266","RIOTRUCHAS 2021",39,"1","2021",220,6
"267","RIOTRUCHAS 2021",40,"1","2021",221,9
"268","RIOTRUCHAS 2021",41,"1","2021",222,5
"269","RIOTRUCHAS 2021",42,"1","2021",223,4
"270","RIOTRUCHAS 2021",43,"1","2021",224,2
"271","RIOTRUCHAS 2021",44,"1","2021",225,2
"272","RIOTRUCHAS 2021",45,"1","2021",226,4
"273","RUBIANS 2019",22,"1","2019",221,5
"274","RUBIANS 2019",23,"1","2019",222,4
"275","RUBIANS 2019",24,"1","2019",223,7
"276","RUBIANS 2019",25,"1","2019",224,6
"277","RUBIANS 2019",26,"1","2019",225,9
"278","RUBIANS 2019",27,"1","2019",226,4
"279","SANCOSME 2020",18,"1","2020",200,8
"280","SANCOSME 2020",19,"1","2020",201,5
"281","SANCOSME 2020",20,"1","2020",202,3
"282","SANCOSME 2020",21,"1","2020",203,4
"283","SANCOSME 2020",22,"1","2020",204,5
"284","SANCOSME 2020",23,"1","2020",205,4
"285","SANCOSME 2020",24,"1","2020",206,3
"286","SANCOSME 2020",25,"1","2020",207,7
"287","SANCOSME 2020",26,"1","2020",208,3
"288","SANCOSME 2020",27,"1","2020",209,4
"289","SANCOSME 2020",28,"1","2020",210,7
"290","SANCOSME 2020",29,"1","2020",211,6
"291","SANCOSME 2020",30,"1","2020",212,2
"292","SANCOSME 2020",31,"1","2020",213,2
"293","SANCOSME 2020",32,"1","2020",214,5
"294","SANCOSME 2020",33,"1","2020",215,2
"295","SANCOSME 2020",34,"1","2020",216,7
"296","SANCOSME 2020",35,"1","2020",217,3
"297","SANCOSME 2020",36,"1","2020",218,5
"298","SANCOSME 2020",37,"1","2020",219,3
"299","SANCOSME 2020",38,"1","2020",220,3
"300","SANCOSME 2020",39,"1","2020",221,3
"301","SANCOSME 2020",40,"1","2020",222,3
"302","SANCOSME 2021",17,"2","2021",191,5
"303","SANCOSME 2021",18,"2","2021",192,5
"304","SANCOSME 2021",19,"2","2021",193,5
"305","SANCOSME 2021",20,"2","2021",194,2
"306","SANCOSME 2021",21,"2","2021",195,7
"307","SANCOSME 2021",22,"2","2021",196,2
"308","SANCOSME 2021",23,"1","2021",197,5
"309","SANCOSME 2021",24,"1","2021",198,4
"310","SANCOSME 2021",25,"1","2021",199,5
"311","SANCOSME 2021",26,"1","2021",200,5
"312","SANCOSME 2021",27,"1","2021",201,4
"313","SANCOSME 2021",28,"1","2021",202,3
"314","SANCOSME 2021",29,"1","2021",203,4
"315","SANCOSME 2021",30,"1","2021",204,3
"316","SANCOSME 2021",31,"1","2021",205,5
"317","SANCOSME 2021",32,"1","2021",206,3
"318","SANCOSME 2021",33,"1","2021",207,6
"319","SANCOSME 2021",34,"1","2021",208,5
"320","SANCOSME 2021",35,"1","2021",209,4
"321","SANCOSME 2021",36,"1","2021",210,2
"322","SANCOSME 2021",37,"1","2021",211,5
"323","SANCOSME 2021",38,"1","2021",212,4
"324","SANCOSME 2021",39,"1","2021",213,3
"325","SANCOSME 2021",40,"1","2021",214,3
"326","SANCOSME 2021",41,"1","2021",215,4
"327","SANCOSME 2021",42,"1","2021",216,2
"328","SANCOSME 2021",43,"1","2021",217,3
"329","SANCOSME 2021",44,"1","2021",218,4
"330","TANOIRA 2021",21,"2","2021",191,11
"331","TANOIRA 2021",22,"2","2021",192,8
"332","TANOIRA 2021",23,"2","2021",193,16
"333","TANOIRA 2021",24,"2","2021",194,11
"334","TANOIRA 2021",25,"2","2021",195,13
"335","TANOIRA 2021",26,"2","2021",196,11
"336","TANOIRA 2021",27,"2","2021",197,9
"337","TANOIRA 2021",28,"2","2021",198,11
"338","TANOIRA 2021",29,"2","2021",199,13
"339","TANOIRA 2021",30,"2","2021",200,18
"340","TANOIRA 2021",31,"2","2021",201,12
"341","TANOIRA 2021",32,"2","2021",202,17
"342","TANOIRA 2021",33,"2","2021",203,11
"343","TANOIRA 2021",34,"2","2021",204,9
"344","TANOIRA 2021",35,"2","2021",205,5
"345","TANOIRA 2021",36,"2","2021",206,16
"346","TANOIRA 2021",37,"2","2021",207,10
"347","TANOIRA 2021",38,"2","2021",208,7
